mark,alle,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254,g255,g256,g257,g258,g259,g260,g261,g262,g263,g264,g265,g266,g267,g268,g269,g270,g271,g272,g273,g274,g275
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.019,0,0,0,0,0,0,0,0.0555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0.0495,0.0905,0,0,0,0,0.059,0.064,0.0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.071,0,0.6085,0,0,0.138,0,0.019,0,0.053,0,0,0.0195,0.051,0,0,0.027,0,0,0,0,0.0575,0,0,0,0,0,0,0.03,0,0,0,0,0.046,0.022,0.026,0.041,0.158,0.0665,0.074,0.0255,0.388,0.0545,0.0485,0.0175,0.023,0,0.083,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355,0.5,0,0,0,0,0,0,0,0,0,0,0.062,0.0735,0.248,0.0865,0.2095,0.062,0,0,0.0435,0,0,0,0,0.064,0.1305,0.3645,0.0955,0,0,0,0,0.028,0.0485,0.018,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.056,0.132,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185,0.0435,0,0,0,0.205,0,0,0,0,0,0
1,2,0.7585,0.192,0.4025,0.156,0.129,0.1335,0.0705,0.0765,0.1015,0,0.1385,0,0.046,0.044,0.195,,0.5,0.342,0,0.1575,0.836,0.4045,0,0.05,0.6595,0.7265,0.3435,0,0.3525,0.1865,0.079,0.2055,0.328,0.517,0.461,0.3945,0.6115,0.1685,0.4485,0.569,0.4955,0.3235,0.8005,0.67,0.606,0.6235,0.1955,0.6925,0.338,0.461,1,0.2075,0.8415,0.5335,0.1545,0.2755,0.461,0.501,0.5345,0.586,0.124,0.5385,0,0,0.0375,0,0.3005,0.1115,0.2965,0.3155,0.3625,0.317,0.081,0.3415,0.2425,0.1425,0.4225,0.167,0.391,0.0415,0.311,0.577,0.2235,0.242,0.488,0.2215,0.3015,0.4105,0.5365,0.4045,0.0905,0.38,0.071,0.2435,0.133,0.0995,0.105,0.093,0.3965,0.362,0.3915,0.7705,0.673,0.862,0.8925,0.507,0.3815,0.38,0.3005,0,0.6095,0.0605,0.0985,0.1725,0.098,0.176,0.276,0.9095,0.2005,0.2675,0.578,0,0.2805,0.1135,0,0.661,0.1745,0.204,0.6535,0.4155,0.284,0.0655,0.1115,0.2025,0.099,0.2245,0.1735,0.229,0.2025,0.3655,0.691,0.582,0.388,0.9155,0.2045,0.2945,0.0575,0,0,0.1415,0.0425,0.0475,0.0265,0.1815,0,0.423,0.101,0.0635,0.2715,0.444,0.5615,0.1585,0.256,0,0.4905,0.822,0.706,0.337,0.1255,0.3755,0.6875,0.067,0.04,0.194,0.2595,0.5925,0.3645,0.485,1,0.86,0.72,0.6955,0.6785,0.7095,0.6725,0.3155,0.501,0.642,0.1365,0.5795,0.622,0.2145,0.504,0.575,0.332,0.262,0.6535,0.5035,0.5095,1,0.3195,0.8525,0.4675,0.6035,0.61,0.6565,0.2845,0.5615,0.3815,0.3025,0.0365,0.24,0.438,0.4875,0.344,0.215,0.2295,0.2545,0.5095,0.5215,0.2685,0.231,0.421,0.513,0.749,0.5295,0.647,0.292,0.7035,0.804,0.741,1,0.7365,0.47,1,0.3055,0.079,0.779,0.8965,1,0.196,0.4355,0.3005,0.2685,0.5025,0.411,0.4285,0.3075,1,0.7195,0.411,0.2955,0.68,0.7915,0.111,0.669,0.729,0.6475,0.507,0.7485,0.4495,0.774,1,0.8165,0.616,0.3215,0.396,0.5825,0.5185,0.8035,0.709,0.1235,0.332,0.6935,0.5065
1,3,0.2415,0.808,0.5975,0.844,0.871,0.8665,0.9295,0.9235,0.8985,1,0.8615,1,0.954,0.956,0.805,,0.5,0.658,1,0.8425,0.145,0.5955,1,0.95,0.3405,0.2735,0.6565,1,0.5915,0.8135,0.921,0.7945,0.672,0.483,0.539,0.6055,0.3885,0.8315,0.5515,0.431,0.5045,0.6765,0.1585,0.33,0.394,0.3275,0.714,0.3075,0.662,0.539,0,0.7335,0.095,0.445,0.8455,0.7245,0.539,0.499,0.4655,0.414,0.876,0.4615,1,1,0.9625,1,0.6995,0.8885,0.7035,0.6845,0.1375,0.683,0.919,0.6585,0.7575,0.8575,0.5775,0.833,0.588,0.9585,0.689,0.423,0.7765,0.758,0.512,0.7785,0.6985,0.5895,0.4635,0.5955,0.9095,0.62,0.929,0.7565,0.867,0.9005,0.895,0.827,0.5325,0.638,0,0.2295,0.327,0,0.1075,0.474,0.6185,0.5675,0.6995,1,0.371,0.888,0.9015,0.8275,0.875,0.824,0.724,0.0905,0.7995,0.6755,0.422,1,0.7195,0.8865,1,0.339,0.7955,0.796,0.3465,0.5845,0.716,0.8885,0.8665,0.772,0.86,0.618,0.76,0.697,0.7715,0.246,0.255,0.3695,0.594,0.0615,0.7955,0.6225,0.9425,1,1,0.8195,0.9575,0.9525,0.9735,0.8185,1,0.577,0.899,0.9365,0.7285,0.556,0.4385,0.8415,0.744,1,0.5095,0.151,0.1775,0.663,0.8745,0.6245,0.3125,0.933,0.96,0.806,0.7405,0.4075,0.6355,0.515,0,0.14,0.28,0.3045,0.3215,0.2905,0.3275,0.6845,0.499,0.358,0.8635,0.4205,0.378,0.7855,0.496,0.425,0.633,0.238,0.3465,0.4965,0.4905,0,0.6805,0.1475,0.5325,0.3965,0.39,0.3435,0.6535,0.3645,0.3705,0.6115,0.754,0.698,0.562,0.5125,0.612,0.785,0.7705,0.7455,0.4905,0.4145,0.601,0.4045,0.4835,0.487,0.251,0.4705,0.353,0.6805,0.2475,0.178,0.259,0,0.2355,0.53,0,0.6945,0.921,0.221,0.1035,0,0.804,0.5645,0.6995,0.7315,0.4975,0.5255,0.5155,0.5605,0,0.2485,0.589,0.7045,0.32,0.2085,0.889,0.331,0.271,0.3525,0.493,0.2515,0.5505,0.226,0,0.165,0.3405,0.6785,0.604,0.4175,0.2765,0.1965,0.291,0.8765,0.668,0.3065,0.4935
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5565,0.0795,0.198,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.055,0,0,0,0,0,0,0.112,0,0.0645,0,0,0,0,0,0,0.456,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0.2935,0,0.0195,0.031,0,0,0.2115,0.023,0,0,0,0,0,0,0,0,0,0.0235,0.041,0.219,0.037,0.1175,0,0.037,0.0805,0,0.0315,0,0.031,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0.3405,0.294,0.2795,0.09,0.248,0,0.047,0.29,0,0,0.3335,0.138,0.154,0.0675,0.555,0,0.0795,0.1175,0,0.0225,0,0.051,0.1615,0.119,0,0.32,0.048,0.099,0,0,0,0.5105,0,0.0725,0,0,0,0,0.228,0,0.0205,0,0.1545,0,0,0.094,0,0.233,0,0,0.29,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0.045,0,0.069,0.02,0,0,0,0,,0,0,0,0.8865,0,0,0.449,0,0,0,0,0,0,0,0,0.2065,0,0.038,0.057,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0.499,0.102,0,0.3955,0.0385,0.1645,0,0,0.6265,0,0,0.0835,0,0,0,0,0,0,0.0625,0,0,0,0.2325,0,0,0.416,0,0.1175,0,0,0.3465,0.263,0.1025,0,0,0.0745,0.083,0,0,0.0595,0.3785,0,0,0,0,0,0.5865,0,0,0.2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1575,0.1615,0,0.0585,0,0.1975,0,0,0,0,0.5295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.0585,0,0,0,0,0,0.1485,0,0.5,0,0,0.0335,0,0,0.2985,0,0,0,0.0395,0.0825,0,0,0,0.033,0,0.1665,0.0775,0,0,0.125,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0.0195,0,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1325,0,0,0,0,0.137,0,0,0,0.2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1,0.966,0.8605,1,1,1,1,0.511,0.0415,0.7675,0.98,0.835,1,1,0.871,,0,1,1,0.1135,1,1,0.551,1,1,0.8575,0.407,0.8955,0.4345,0.276,0.96,0.3795,0.769,0.283,0.493,0.4245,1,0.7085,0.806,0.864,1,0.865,0.9545,0.778,0.717,0.773,1,1,1,0.455,0.43,0.475,0.3665,0.2845,0.263,0.435,0.802,0.894,0.3735,0.8395,0.5655,0.821,0.945,0.954,0.7185,0.85,0.568,1,0.81,0.2465,0.324,0.538,0.494,0.6835,0.588,0.2525,1,0,0.783,1,0.3945,0.3665,0.1875,0.7355,0.584,0.238,0.3465,0.2475,0,0.3995,0.6215,1,0.549,1,0.5325,1,0.2905,0.59,0.955,0.146,0.0565,0.137,0.3355,0.1115,0,0.1905,0.236,0.483,0.447,0.783,0.8895,0.8355,1,0.6715,0.839,0.6585,0.4695,0.8725,1,0.4065,0.6075,0.4015,0.344,0.5215,0.803,0.506,0.475,0.33,1,0.4705,1,1,0.5915,0.8285,0.8355,0.6525,0.752,0.34,1,0.383,0.372,0.249,0.459,0.601,0.941,0.9415,1,1,1,0.766,1,0.79,1,0.4135,0.917,0.6835,0.663,0.6575,0.7335,0.555,0.89,0.9,0.6535,0.737,0.575,0.807,1,0.9045,0.6685,0.871,0.3865,0.5595,0.9595,0.6645,0.645,0.7015,0.2905,0.4035,0.1525,0.6915,0.4775,0.3785,0.401,0.262,0.324,0.345,0.4235,0.4785,0.415,0.751,0.5515,0.2375,0.435,0.467,0.5085,0,0.5705,0.8825,0.431,0.6465,0,0.526,0.5075,0.458,0.259,0.6725,0.087,0.2845,0.586,0.2055,0.391,0.2135,0.452,0.5235,0.103,0.605,1,0.7215,0.0845,0.6385,0.045,0.345,0.135,0.5515,0.5115,0.4185,0.573,0.752,0.505,0.8145,0.624,0.2565,0.23,0.41,0.8435,0.504,0.569,0.209,0.2305,0.4415,0.5315,0.8335,0.374,0.464,0.2395,0.655,0.725,0.231,0.319,0.479,0.564,0.661,1,0.554,0.4895,0.26,0.582,0.2815,0.6845,0.407,0.653,0.596,0.8895,0.71,0.4,0.7415,0.578,0.505,0.6505,0.2805,0.452,1,0.8615,0.563,1
2,6,0,0,0.1395,0,0,0,0,0.444,0.9585,0.0625,0,0.165,0,0,0,,0.377,0,0,0,0,0,0,0,0,0.1425,0.4405,0,0.5655,0.724,0.04,0.414,0.1575,0.679,0.45,0.487,0,0.2915,0.194,0.136,0,0.135,0.0455,0.184,0.283,0.227,0,0,0,0.545,0.071,0.4225,0.6335,0.32,0.1415,0.322,0,0.082,0,0.1605,0.4345,0.0955,0.055,0,0.2815,0.15,0.432,0,0.0565,0.7535,0.5745,0.407,0.2735,0.3165,0.412,0.3315,0,0.8825,0.1045,0,0.195,0.371,0.71,0.2645,0.416,0.6875,0.5705,0.2965,1,0.4445,0,0,0.451,0,0.4675,0,0.1225,0.41,0,0.555,0.9435,0.7545,0.5625,0.388,0.5105,0.8095,0.764,0.517,0.553,0.217,0.1105,0.1645,0,0.3285,0.161,0.3415,0.5305,0.1275,0,0.4365,0.23,0.525,0.597,0.4785,0,0.494,0.525,0.67,0,0,0,0,0.4085,0.1715,0.1645,0.3475,0.1725,0.66,0,0.5895,0.628,0.751,0.541,0.399,0,0,0,0,0,0.234,0,0.061,0,0.0865,0.083,0.3165,0.207,0.316,0.239,0.1465,0.11,0.1,0.3465,0.2235,0.3425,0.193,0,0.0955,0.2985,0.075,0.447,0.1435,0,0.3355,0.23,0.2985,0.7095,0.303,0.8475,0.102,0.4915,0.6215,0.599,0.5265,0.653,0.655,0.5765,0.5215,0.585,0.2285,0.429,0.7625,0.546,0.533,0.468,0.959,0.2105,0.0805,0.4515,0.3535,0.9315,0.393,0.4925,0.5105,0.741,0.273,0.913,0.6795,0.414,0.7945,0.609,0.749,0.443,0.4765,0.897,0.395,0,0.2785,0.9155,0.3615,0.854,0.655,0.865,0.108,0.1945,0.19,0.192,0,0.262,0.1385,0.086,0.7435,0.77,0.1215,0,0.3415,0.364,0.236,0.7695,0.4785,0.3515,0.1665,0.6035,0.536,0.563,0.1825,0.091,0.6425,0.361,0.3265,0.205,0.339,0,0.446,0,0,0.345,0.397,0.3155,0.3335,0.347,0.176,0.0445,0.2695,0.6,0.104,0.422,0.31,0.255,0.7195,0.3145,0,0.1385,0.0765,0
2,7,0,0.034,0,0,0,0,0,0,0,0.101,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.153,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0.1085,0.1015,0.5005,0.4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603,0,0.3215,0,0,0,0,0.0305,0,0,0,0,0,0,0,0,0,0,0,0
